Issue_ID	Chromosome	Patch_GenBank_Accession
ZG-5010	13	na
ZG-5011	13	na
ZG-5017	13	na
ZG-5029	13	na
ZG-5030	13	na
ZG-5033	13	na
ZG-5034	13	na
ZG-5036	13	na
ZG-5037	13	na
ZG-5038	13	na
ZG-5039	13	na
ZG-5137	13	na
ZG-5138	13	na
ZG-5234	13	na
ZG-5288	13	na
ZG-5289	13	na
ZG-5316	13	na
ZG-5378	13	na
ZG-5405	13	na
ZG-5406	13	na
ZG-5525	13	na
ZG-5536	13	na
ZG-5623	13	na
ZG-5701	13	na
ZG-5702	13	na
ZG-5750	13	na
ZG-5752	13	na
ZG-5753	13	na
ZG-5754	13	na
ZG-5756	13	na
ZG-5759	13	na
ZG-5760	13	na
ZG-5761	13	na
ZG-5762	13	na
ZG-5763	13	na
ZG-6049	13	na
ZG-6064	13	na
ZG-6423	13	na
ZG-6424	13	na
ZG-6426	13	na
ZG-6427	13	na
ZG-6429	13	na
ZG-6430	13	na
ZG-6431	13	na
ZG-6432	13	na
ZG-6434	13	na
ZG-6437	13	na
ZG-6439	13	na
ZG-6442	13	na
ZG-6477	13	na
ZG-6488	13	na
ZG-6491	13	na
ZG-6493	13	na
ZG-6494	13	na
ZG-6495	13	na
ZG-6496	13	na
ZG-6497	13	na
ZG-6498	13	na
ZG-6504	13	na
ZG-6506	13	na
ZG-6507	13	na
ZG-6508	13	na
ZG-6511	13	na
ZG-6512	13	na
ZG-6513	13	na
ZG-6514	13	na
ZG-6516	13	na
ZG-6517	13	na
ZG-6518	13	na
ZG-6519	13	na
ZG-6520	13	na
ZG-6521	13	na
ZG-6590	13	na
ZG-6595	13	na
ZG-6615	13	na
ZG-6666	13	na
ZG-6667	13	na
ZG-6839	13	na
ZG-6840	13	na
ZG-6841	13	na
ZG-6842	13	na
ZG-6843	13	na
ZG-6844	13	na
ZG-6845	13	na
ZG-6846	13	na
ZG-6847	13	na
ZG-6848	13	na
ZG-6849	13	na
ZG-6850	13	na
ZG-6851	13	na
ZG-6852	13	na
ZG-6853	13	na
ZG-6854	13	na
ZG-6855	13	na
ZG-6856	13	na
ZG-6857	13	na
ZG-6858	13	na
ZG-6859	13	na
ZG-6931	13	na
ZG-6932	13	na
ZG-6933	13	na
ZG-6934	13	na
ZG-6935	13	na
ZG-6936	13	na
ZG-6972	13	na
ZG-7018	13	na
ZG-7062	13	na
ZG-7085	13	na
ZG-7107	13	na
ZG-2720	14	na
ZG-2724	14	na
ZG-2725	14	na
ZG-2726	14	na
ZG-2727	14	na
ZG-2749	14	na
ZG-2765	14	na
ZG-2766	14	na
ZG-2768	14	na
ZG-3243	14	na
ZG-3245	14	na
ZG-37	14	na
ZG-3806	14	na
ZG-3807	14	na
ZG-3808	14	na
ZG-3809	14	na
ZG-3810	14	na
ZG-3813	14	na
ZG-3815	14	na
ZG-3816	14	na
ZG-3817	14	na
ZG-3818	14	na
ZG-3821	14	na
ZG-3822	14	na
ZG-3823	14	na
ZG-3824	14	na
ZG-3825	14	na
ZG-3826	14	na
ZG-3827	14	na
ZG-3835	14	na
ZG-3836	14	na
ZG-3842	14	na
ZG-3843	14	na
ZG-3844	14	na
ZG-3845	14	na
ZG-3846	14	na
ZG-3847	14	na
ZG-3848	14	na
ZG-3849	14	na
ZG-3850	14	na
ZG-3851	14	na
ZG-3852	14	na
ZG-3853	14	na
ZG-3854	14	na
ZG-3855	14	na
ZG-3856	14	na
ZG-3857	14	na
ZG-3858	14	na
ZG-3859	14	na
ZG-3860	14	na
ZG-3861	14	na
ZG-3862	14	na
ZG-3863	14	na
ZG-3864	14	na
ZG-3865	14	na
ZG-3866	14	na
ZG-3867	14	na
ZG-3868	14	na
ZG-3869	14	na
ZG-3870	14	na
ZG-3873	14	na
ZG-3875	14	na
ZG-3877	14	na
ZG-3878	14	na
ZG-3879	14	na
ZG-3880	14	na
ZG-3881	14	na
ZG-3882	14	na
ZG-3883	14	na
ZG-3884	14	na
ZG-3885	14	na
ZG-3886	14	na
ZG-3890	14	na
ZG-3892	14	na
ZG-3893	14	na
ZG-3894	14	na
ZG-3895	14	na
ZG-3919	14	na
ZG-3920	14	na
ZG-3921	14	na
ZG-3922	14	na
ZG-3923	14	na
ZG-3924	14	na
ZG-3925	14	na
ZG-3927	14	na
ZG-3928	14	na
ZG-3992	14	na
ZG-4002	14	na
ZG-4005	14	na
ZG-4041	14	na
ZG-4051	14	na
ZG-4075	14	na
ZG-4092	14	na
ZG-4154	14	na
ZG-4155	14	na
ZG-4156	14	na
ZG-4732	14	na
ZG-4734	14	na
ZG-4735	14	na
ZG-5242	14	na
ZG-5243	14	na
ZG-5244	14	na
ZG-5245	14	na
ZG-5249	14	na
ZG-5252	14	na
ZG-5253	14	na
ZG-5263	14	na
ZG-5264	14	na
ZG-5265	14	na
ZG-5266	14	na
ZG-5267	14	na
ZG-5268	14	na
ZG-5269	14	na
ZG-5270	14	na
ZG-5271	14	na
ZG-5273	14	na
ZG-5274	14	na
ZG-5275	14	na
ZG-5276	14	na
ZG-5438	14	na
ZG-5532	14	na
ZG-5641	14	na
ZG-5669	14	na
ZG-5901	14	na
ZG-5903	14	na
ZG-5904	14	na
ZG-5905	14	na
ZG-6026	14	na
ZG-6044	14	na
ZG-6045	14	na
ZG-6046	14	na
ZG-6054	14	na
ZG-6055	14	na
ZG-6057	14	na
ZG-6061	14	na
ZG-6062	14	na
ZG-6063	14	na
ZG-6065	14	na
ZG-6066	14	na
ZG-6069	14	na
ZG-6077	14	na
ZG-6078	14	na
ZG-6079	14	na
ZG-6080	14	na
ZG-6081	14	na
ZG-6082	14	na
ZG-6083	14	na
ZG-6084	14	na
ZG-6085	14	na
ZG-6091	14	na
ZG-6101	14	na
ZG-6103	14	na
ZG-6105	14	na
ZG-6106	14	na
ZG-6109	14	na
ZG-6123	14	na
ZG-6124	14	na
ZG-6125	14	na
ZG-6126	14	na
ZG-6127	14	na
ZG-6128	14	na
ZG-6129	14	na
ZG-6143	14	na
ZG-6245	14	na
ZG-6246	14	na
ZG-6251	14	na
ZG-6259	14	na
ZG-6260	14	na
ZG-6261	14	na
ZG-6265	14	na
ZG-6267	14	na
ZG-6268	14	na
ZG-6269	14	na
ZG-6273	14	na
ZG-6274	14	na
ZG-6276	14	na
ZG-6279	14	na
ZG-6282	14	na
ZG-6283	14	na
ZG-6284	14	na
ZG-6290	14	na
ZG-6292	14	na
ZG-6293	14	na
ZG-6295	14	na
ZG-6297	14	na
ZG-6298	14	na
ZG-6300	14	na
ZG-6301	14	na
ZG-6303	14	na
ZG-6306	14	na
ZG-6309	14	na
ZG-6310	14	na
ZG-6311	14	na
ZG-6358	14	na
ZG-6359	14	na
ZG-6400	14	na
ZG-6726	14	na
ZG-6727	14	na
ZG-6728	14	na
ZG-6729	14	na
ZG-6730	14	na
ZG-6740	14	na
ZG-6741	14	na
ZG-6742	14	na
